state,task,model,seed,train_config,train_years,eval_year,accuracy
TX,income,LR,0,2018,2018,2018,0.7769415261469644
TX,income,LR,0,2017,2017,2018,0.7654350960831052
TX,income,LR,0,2014-2017,2014-2015-2016-2017,2018,0.7668402931049704
TX,income,LR,1,2018,2018,2018,0.766523939848739
TX,income,LR,1,2017,2017,2018,0.7638533298019482
TX,income,LR,1,2014-2017,2014-2015-2016-2017,2018,0.7642138253730025
TX,income,LR,2,2018,2018,2018,0.7651260998793443
TX,income,LR,2,2017,2017,2018,0.764633177363821
TX,income,LR,2,2014-2017,2014-2015-2016-2017,2018,0.7711809540625644
TX,income,LR,3,2018,2018,2018,0.7652658838762838
TX,income,LR,3,2017,2017,2018,0.7794134957770519
TX,income,LR,3,2014-2017,2014-2015-2016-2017,2018,0.7669506488920279
TX,income,LR,4,2018,2018,2018,0.7744180571495836
TX,income,LR,4,2017,2017,2018,0.7638459727494776
TX,income,LR,4,2014-2017,2014-2015-2016-2017,2018,0.7714310938465613
TX,income,LR,5,2018,2018,2018,0.7648612459904064
TX,income,LR,5,2017,2017,2018,0.7622936346782025
TX,income,LR,5,2014-2017,2014-2015-2016-2017,2018,0.7668697213148524
TX,income,LR,6,2018,2018,2018,0.7640666843235926
TX,income,LR,6,2017,2017,2018,0.7631617668697214
TX,income,LR,6,2014-2017,2014-2015-2016-2017,2018,0.7681939907595421
TX,income,LR,7,2018,2018,2018,0.7637061887525382
TX,income,LR,7,2017,2017,2018,0.7815028986786734
TX,income,LR,7,2014-2017,2014-2015-2016-2017,2018,0.7719534445719667
TX,income,LR,8,2018,2018,2018,0.7643830375798241
TX,income,LR,8,2017,2017,2018,0.764574320944057
TX,income,LR,8,2014-2017,2014-2015-2016-2017,2018,0.7665312969012095
TX,income,LR,9,2018,2018,2018,0.764250610635355
TX,income,LR,9,2017,2017,2018,0.7774712339248403
TX,income,LR,9,2014-2017,2014-2015-2016-2017,2018,0.7618816397398547
